,columns,descricao
0,cdgesac,
1,nrpid,
2,situacao,
3,sgunidadefederacao,
4,nomunicipio,
5,cdmunicipioibge,
6,noestabelecimento,
7,cdinep,
8,sginstituicao,
9,nosolicitante,
10,nocargosolicitante,
11,dslogradouro,
12,nrendereco,
13,dsbairro,
14,nrcep,
15,dscomplemento,
16,icareaurbana,
17,idlote,
18,nrvelocidadedownload,
19,vlunitario,
20,dslatitude,
21,dslongitude,
22,cdtipotecnologia,
23,instalacao_cdgesac,
24,instalacao_dstiposolicitacao,
25,instalacao_solicitacao,
26,instalacao_dtsolicitacao,
27,instalacao_dtexecucaosolicitacao,
28,instalacao_dtinstalacao,
29,instalacao_situacao,
30,instalacao_dtsituacaosolicitacao,
31,instalacao_dstiposituacaosolicitacao,
32,instalacao_subcomissao,
33,remanejamento_cdgesac,
34,remanejamento_dstiposolicitacao,
35,remanejamento_solicitacao,
36,remanejamento_dtsolicitacao,
37,remanejamento_dtexecucaosolicitacao,
38,remanejamento_dtinstalaca,
39,remanejamento_situacao,
40,remanejamento_dtsituacaosolicitacao,
41,remanejamento_dstiposituacaosolicitacao,
42,remanejamento_subcomissao,
43,desativacao_cdgesac,
44,desativacao_dstiposolicitacao,
45,desativacao_solicitacao,
46,desativacao_dtsolicitacao,
47,desativacao_dtexecucaosolicitacao,
48,desativacao_dtinstalaca,
49,desativacao_situacao,
50,desativacao_dtsituacaosolicitacao,
51,desativacao_dstiposituacaosolicitacao,
52,desativacao_subcomissao,
53,nrcontrato,
54,eecontatobeneficiario,
55,nrtelefonebeneficiario,
56,dsjustificativa,
57,nocontatobeneficiario,
58,notipologiabeneficiario,
59,bancada,
60,proponente,
61,prop_pk1,
62,prop_pk2,
